trajectory_len,emb_dim,min_neighbors,lag,value
6,3,2,1,0.0
6,3,2,2,0.0
6,3,2,3,0.0
6,3,2,4,0.0
6,3,3,1,0.0
6,3,3,2,0.0
6,3,3,3,0.0
6,3,3,4,0.0
6,3,4,1,0.0
6,3,4,2,0.0
6,3,4,3,0.0
6,3,4,4,0.0
6,3,5,1,0.0
6,3,5,2,0.0
6,3,5,3,0.0
6,3,5,4,0.0
6,5,2,1,0.0
6,5,2,2,0.0
6,5,2,3,0.0
6,5,2,4,0.0
6,5,3,1,0.0
6,5,3,2,0.0
6,5,3,3,0.0
6,5,3,4,0.0
6,5,4,1,0.0
6,5,4,2,0.0
6,5,4,3,0.0
6,5,4,4,0.0
6,5,5,1,0.0
6,5,5,2,0.0
6,5,5,3,0.0
6,5,5,4,0.0
6,7,2,1,0.0
6,7,2,2,0.0
6,7,2,3,0.0
6,7,2,4,0.0
6,7,3,1,0.0
6,7,3,2,0.0
6,7,3,3,0.0
6,7,3,4,0.0
6,7,4,1,0.0
6,7,4,2,0.0
6,7,4,3,0.0
6,7,4,4,0.0
6,7,5,1,0.0
6,7,5,2,0.0
6,7,5,3,0.0
6,7,5,4,0.0
7,3,2,1,0.0
7,3,2,2,0.0
7,3,2,3,0.0
7,3,2,4,0.0
7,3,3,1,0.0
7,3,3,2,0.0
7,3,3,3,0.0
7,3,3,4,0.0
7,3,4,1,0.0
7,3,4,2,0.0
7,3,4,3,0.0
7,3,4,4,0.0
7,3,5,1,0.0
7,3,5,2,0.0
7,3,5,3,0.0
7,3,5,4,0.0
7,5,2,1,0.0
7,5,2,2,0.0
7,5,2,3,0.0
7,5,2,4,0.0
7,5,3,1,0.0
7,5,3,2,0.0
7,5,3,3,0.0
7,5,3,4,0.0
7,5,4,1,0.0
7,5,4,2,0.0
7,5,4,3,0.0
7,5,4,4,0.0
7,5,5,1,0.0
7,5,5,2,0.0
7,5,5,3,0.0
7,5,5,4,0.0
7,7,2,1,0.0
7,7,2,2,0.0
7,7,2,3,0.0
7,7,2,4,0.0
7,7,3,1,0.0
7,7,3,2,0.0
7,7,3,3,0.0
7,7,3,4,0.0
7,7,4,1,0.0
7,7,4,2,0.0
7,7,4,3,0.0
7,7,4,4,0.0
7,7,5,1,0.0
7,7,5,2,0.0
7,7,5,3,0.0
7,7,5,4,0.0
8,3,2,1,0.0
8,3,2,2,0.0
8,3,2,3,0.0
8,3,2,4,0.0
8,3,3,1,0.0
8,3,3,2,0.0
8,3,3,3,0.0
8,3,3,4,0.0
8,3,4,1,0.0
8,3,4,2,0.0
8,3,4,3,0.0
8,3,4,4,0.0
8,3,5,1,0.0
8,3,5,2,0.0
8,3,5,3,0.0
8,3,5,4,0.0
8,5,2,1,0.0
8,5,2,2,0.0
8,5,2,3,0.0
8,5,2,4,0.0
8,5,3,1,0.0
8,5,3,2,0.0
8,5,3,3,0.0
8,5,3,4,0.0
8,5,4,1,0.0
8,5,4,2,0.0
8,5,4,3,0.0
8,5,4,4,0.0
8,5,5,1,0.0
8,5,5,2,0.0
8,5,5,3,0.0
8,5,5,4,0.0
8,7,2,1,0.0
8,7,2,2,0.0
8,7,2,3,0.0
8,7,2,4,0.0
8,7,3,1,0.0
8,7,3,2,0.0
8,7,3,3,0.0
8,7,3,4,0.0
8,7,4,1,0.0
8,7,4,2,0.0
8,7,4,3,0.0
8,7,4,4,0.0
8,7,5,1,0.0
8,7,5,2,0.0
8,7,5,3,0.0
8,7,5,4,0.0